Name,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kyle Collinsworth,,,NBA,,32,2,15.0,1.2,3.1,.384,0.1,0.5,.235,1.1,2.6,.415,.404,0.7,1.3,.525,1.0,2.3,3.3,1.8,0.5,0.3,0.8,1.4,3.2
Darren Collison,,,NBA,,656,466,29.5,4.6,9.9,.471,0.9,2.2,.391,3.8,7.6,.494,.515,2.4,2.8,.852,0.5,2.1,2.6,4.9,1.1,0.2,2.0,1.7,12.6
Nick Collison,,,NBA,,910,177,20.4,2.4,4.6,.534,0.0,0.1,.208,2.4,4.4,.542,.536,1.0,1.4,.723,1.9,3.2,5.2,1.0,0.5,0.5,1.0,2.8,5.9
Joe Colone,,,BAA,,15,,,2.3,7.5,.310,,,,,,,,0.9,1.3,.684,,0.6,1.7,5.5
Sean Colson,,,NBA,,13,0,3.4,0.5,1.8,.250,0.1,0.4,.200,0.4,1.5,.263,.271,0.2,0.3,.500,0.2,0.3,0.5,0.8,0.1,0.0,0.2,0.5,1.2
Steve Colter,,,NBA,,526,170,18.2,2.5,5.5,.448,0.1,0.5,.289,2.3,5.0,.464,.461,1.2,1.6,.778,0.6,1.4,2.0,2.8,0.9,0.1,1.0,1.7,6.3
Glen Combs,,,ABA,,465,,32.8,5.7,13.2,.433,1.1,2.9,.367,4.6,10.2,.452,.474,4.0,4.9,.810,0.7,1.9,2.6,3.5,0.6,0.1,2.5,2.9,16.5
Leroy Combs,,,NBA,,48,0,9.3,1.7,3.4,.497,0.0,0.1,.000,1.7,3.3,.506,.497,1.2,1.9,.615,0.4,0.8,1.2,0.8,0.5,0.4,1.0,1.0,4.5
John Comeaux,,,ABA,,23,,8.2,1.2,2.7,.429,0.0,0.0,,1.2,2.7,.429,.429,1.0,1.4,.719,,,1.2,0.5,0.7,1.2,3.3
Dallas Comegys,,,NBA,,142,27,15.8,2.3,5.0,.457,0.0,0.0,.000,2.3,4.9,.459,.457,1.5,2.2,.682,1.2,2.0,3.2,0.7,0.5,0.9,1.4,2.4,6.0
Larry Comley,,,NBA,,12,,7.4,0.7,3.1,.216,,,,,,,,0.8,1.3,.563,1.6,1.0,0.9,2.1
Jeffrey Congdon,,,ABA,,306,,20.5,2.5,6.6,.377,0.3,1.2,.285,2.2,5.5,.396,.402,1.2,1.5,.799,0.5,1.6,2.0,3.3,,1.9,1.8,6.5,
Gene Conley,,,NBA,,351,,16.5,2.4,6.4,.371,,,,,,,,1.1,1.7,.657,6.3,0.6,3.2,5.9,,,,,
Larry Conley,,,ABA,,1,,18.0,1.0,4.0,.250,0.0,0.0,,1.0,4.0,.250,.250,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,2.0
Mike Conley,,,NBA,,741,711,32.6,5.2,11.8,.441,1.3,3.5,.376,3.9,8.3,.468,.497,2.8,3.4,.815,0.4,2.5,2.9,5.7,1.5,0.2,2.0,2.0,14.5
Ed Conlin,,,NBA,,486,,23.4,3.8,10.4,.370,,,,,,,,2.4,3.2,.750,4.8,2.0,2.2,10.1,,,,,
Marty Conlon,,,NBA,,379,29,16.7,2.6,5.1,.498,0.0,0.2,.200,2.5,4.9,.510,.502,1.3,1.8,.735,1.3,2.1,3.5,1.0,0.4,0.2,1.1,1.8,6.5
Pat Connaughton,,,NBA,,175,6,13.3,1.5,3.6,.422,0.7,1.9,.351,0.8,1.7,.502,.515,0.4,0.4,.808,0.4,1.4,1.9,1.0,0.2,0.2,0.5,1.0,4.0
Jimmy Conner,,,ABA,,24,,10.0,1.8,3.6,.488,0.0,0.1,.000,1.8,3.5,.506,.488,0.9,1.2,.759,0.5,0.7,1.2,1.6,0.5,0.2,1.3,1.5,4.4
Lester Conner,,,NBA,,687,281,21.8,2.4,5.3,.453,0.0,0.2,.202,2.4,5.1,.461,.456,1.5,2.0,.753,0.9,1.8,2.7,3.9,1.6,0.1,1.3,1.5,6.3
Chuck Connors,,,BAA,,53,,,1.9,7.4,.252,,,,,,,,0.8,1.6,.471,,0.8,2.5,4.5
Will Conroy,,,NBA,,16,0,6.8,0.2,1.4,.136,0.0,0.4,.000,0.2,1.0,.188,.136,0.1,0.5,.125,0.3,0.4,0.7,1.0,0.0,0.0,0.4,0.8,0.4
Anthony Cook,,,NBA,,116,25,12.9,1.4,3.3,.439,0.0,0.1,.000,1.4,3.2,.446,.439,0.7,1.4,.524,1.5,2.2,3.7,0.3,0.4,0.8,0.6,1.2,3.6
Bert Cook,,,NBA,,37,,11.5,1.1,3.6,.316,,,,,,,,0.9,1.4,.680,1.9,0.9,1.1,3.2
Bobby Cook,,,NBA,,51,,,4.4,12.2,.358,,,,,,,,2.8,3.5,.790,,3.1,2.2,11.5
Brian Cook,,,NBA,,421,74,13.4,2.2,4.9,.439,0.6,1.6,.382,1.6,3.3,.467,.502,0.5,0.7,.783,0.7,1.9,2.6,0.6,0.3,0.3,0.6,1.9,5.5
Daequan Cook,,,NBA,,328,49,18.3,2.3,6.3,.369,1.3,3.8,.359,1.0,2.5,.383,.476,0.5,0.6,.813,0.2,1.9,2.1,0.7,0.4,0.1,0.5,1.5,6.4
Darwin Cook,,,NBA,,612,143,23.1,4.1,8.9,.453,0.1,0.5,.196,4.0,8.5,.467,.458,1.3,1.7,.764,0.7,1.4,2.1,3.7,1.7,0.3,1.8,2.1,9.5
Jeff Cook,,,NBA,,518,70,18.7,2.1,4.5,.462,0.0,0.0,.056,2.1,4.5,.465,.462,1.1,1.5,.716,1.7,2.9,4.5,1.4,0.6,0.4,1.1,2.5,5.3
Norm Cook,,,NBA,,27,,5.5,1.0,2.8,.373,,,,,,,,0.3,0.6,.529,0.4,0.7,1.1,0.2,0.4,0.1,0.0,1.1,2.4
Omar Cook,,,NBA,,22,0,9.7,0.8,2.3,.333,0.0,0.2,.000,0.8,2.1,.370,.333,0.1,0.3,.500,0.2,0.4,0.6,2.1,0.7,0.0,0.7,0.9,1.7
Quinn Cook,,,NBA,,70,26,19.7,3.4,7.2,.481,1.3,3.0,.441,2.1,4.1,.510,.574,0.5,0.6,.810,0.3,1.9,2.2,2.3,0.4,0.0,1.0,1.6,8.7
Charles Cooke,,,NBA,,13,0,2.9,0.2,1.1,.143,0.1,0.6,.125,0.1,0.5,.167,.179,0.1,0.2,.500,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.0,0.5
David Cooke,,,NBA,,6,0,6.3,0.3,1.8,.182,0.0,0.0,,0.3,1.8,.182,.182,0.8,1.7,.500,0.8,0.8,1.7,0.2,0.7,0.0,0.3,0.8,1.5
Joe Cooke,,,NBA,,73,,9.9,1.8,4.7,.393,,,,,,,,0.7,0.8,.814,1.6,1.3,1.8,4.3
Jack Cooley,,,NBA,,23,0,7.6,1.0,2.1,.449,0.0,0.0,,1.0,2.1,.449,.449,1.0,1.7,.575,1.0,1.3,2.4,0.3,0.3,0.1,0.3,1.6,2.9
Chuck Cooper,,,NBA,,409,,23.2,2.3,6.7,.339,,,,,,,,2.1,2.8,.743,5.9,1.8,2.9,6.7,,,,,
Duane Cooper,,,NBA,,88,2,8.9,0.9,2.3,.402,0.1,0.4,.216,0.8,1.8,.444,.422,0.4,0.6,.720,0.2,0.5,0.7,2.0,0.2,0.0,1.0,0.9,2.3
Joe Cooper,,,NBA,,24,5,16.2,1.9,3.7,.506,0.0,0.0,,1.9,3.7,.506,.506,0.8,1.5,.543,1.9,2.1,4.0,0.8,0.5,0.9,1.4,2.4,4.5
Michael Cooper,,,NBA,,873,94,27.1,3.5,7.4,.469,0.5,1.4,.340,3.0,5.9,.500,.502,1.5,1.8,.833,0.8,2.3,3.2,4.2,1.2,0.6,1.6,2.7,8.9
Wayne Cooper,,,NBA,,984,461,20.6,3.3,7.2,.457,0.0,0.1,.146,3.3,7.2,.459,.457,1.3,1.8,.736,2.2,4.0,6.2,0.9,0.3,1.6,1.2,3.2,7.9
Tom Copa,,,NBA,,33,1,4.0,0.7,1.2,.550,0.0,0.0,,0.7,1.2,.550,.550,0.1,0.4,.308,0.4,0.7,1.1,0.1,0.1,0.2,0.2,0.9,1.5
Chris Copeland,,,NBA,,171,26,12.3,2.1,5.0,.427,0.9,2.5,.365,1.2,2.5,.486,.516,0.7,0.9,.752,0.4,1.2,1.6,0.6,0.2,0.2,0.8,1.4,5.8
Hollis Copeland,,,NBA,,93,0,13.5,2.1,4.4,.488,0.0,0.0,.000,2.1,4.3,.490,.488,0.7,1.0,.739,0.8,0.9,1.7,1.0,0.7,0.3,0.9,1.9,5.0
Lanard Copeland,,,NBA,,33,0,4.8,1.2,2.8,.418,0.0,0.2,.143,1.1,2.5,.440,.423,0.4,0.5,.813,0.2,0.4,0.5,0.4,0.1,0.0,0.7,0.5,2.7
Tyrone Corbin,,,NBA,,1065,458,26.0,3.7,8.1,.456,0.2,0.6,.299,3.5,7.4,.470,.468,1.6,2.1,.791,1.6,3.1,4.7,1.8,1.2,0.3,1.2,2.5,9.2
Chris Corchiani,,,NBA,,112,1,11.7,1.2,2.8,.421,0.2,0.7,.269,1.0,2.1,.472,.455,1.2,1.5,.816,0.2,0.9,1.2,2.2,0.7,0.0,1.1,1.4,3.7
Ken Corley,,,BAA,,3,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0
Ray Corley,,,NBA,,102,,8.1,1.6,5.4,.304,,,,,,,,1.1,1.8,.601,2.0,1.7,1.5,4.3,,,,,
Dave Corzine,,,NBA,,891,309,23.3,3.5,7.2,.484,0.0,0.1,.189,3.5,7.1,.486,.485,1.6,2.1,.747,2.0,3.9,5.9,1.7,0.4,1.0,1.5,2.2,8.5
Larry Costello,,,NBA,,706,,30.0,4.4,10.0,.438,,,,,,,,3.4,4.1,.841,3.8,4.6,3.3,12.2,,,,,
Matt Costello,,,NBA,,4,0,8.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.3,2.0,2.3,0.5,0.5,0.5,0.3,1.8,1.0
Bryce Cotton,,,NBA,,23,0,8.6,1.4,3.4,.418,0.3,1.0,.304,1.1,2.4,.464,.462,0.7,0.8,.833,0.1,0.7,0.8,0.8,0.3,0.0,0.7,0.3,3.8
Jack Cotton,,,NBA,,54,,,1.8,6.1,.292,,,,,,,,1.5,3.0,.509,,1.2,3.4,5.1
James Cotton,,,NBA,,19,0,4.8,0.7,2.1,.359,0.0,0.4,.000,0.7,1.7,.438,.359,1.1,1.4,.778,0.2,0.6,0.8,0.0,0.2,0.1,0.5,0.5,2.6
John Coughran,,,NBA,,24,,6.7,1.2,3.4,.358,0.1,0.4,.222,1.1,3.0,.375,.370,0.3,0.6,.571,0.1,0.7,0.8,0.5,0.3,0.0,0.5,1.0,2.8
Mel Counts,,,NBA,,789,,17.4,3.4,7.8,.435,,,,,,,,1.5,2.0,.764,1.2,3.3,6.0,1.4,0.6,0.5,2.9,8.3,
Steve Courtin,,,NBA,,24,,13.2,1.8,4.3,.408,,,,,,,,0.7,0.9,.810,0.9,0.9,1.8,4.2
Joe Courtney,,,NBA,,96,1,7.8,1.1,2.6,.433,0.0,0.0,.667,1.1,2.5,.430,.437,0.5,0.8,.633,0.7,0.8,1.5,0.3,0.2,0.2,0.5,1.1,2.8
Marcus Cousin,,,NBA,,4,0,4.5,0.5,0.8,.667,0.0,0.0,,0.5,0.8,.667,.667,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.3,0.3,0.3,1.0
DeMarcus Cousins,,,NBA,,535,513,32.3,7.7,16.7,.460,0.6,1.7,.338,7.1,14.9,.474,.478,5.6,7.6,.737,2.8,8.2,11.0,3.2,1.4,1.2,3.6,3.9,21.5
Bob Cousy,,,NBA,,924,,35.3,6.7,17.8,.375,,,,,,,,5.0,6.2,.803,5.2,7.5,2.4,18.4,,,,,
Robert Covington,,,NBA,,315,269,29.8,4.2,10.4,.401,2.3,6.5,.361,1.8,3.9,.469,.514,2.0,2.4,.817,0.9,4.6,5.5,1.5,1.7,0.8,1.8,3.0,12.7
Dave Cowens,,,NBA,,766,89,38.6,7.5,16.3,.460,0.0,0.1,.071,7.5,16.3,.460,.460,2.6,3.4,.783,3.0,9.8,13.6,3.8,1.1,0.9,2.2,3.8,17.6
Chubby Cox,,,NBA,,7,0,11.1,1.9,5.3,.351,0.0,0.3,.000,1.9,5.0,.371,.351,0.4,0.9,.500,1.0,0.4,1.4,0.9,0.0,0.1,1.3,2.3,4.1
Johnny Cox,,,NBA,,73,,23.1,3.3,7.8,.421,,,,,,,,1.3,1.8,.704,3.8,1.9,2.0,7.8
Wesley Cox,,,NBA,,74,,11.0,1.6,4.0,.412,,,,,,,,1.3,2.6,.510,0.8,2.0,2.8,0.3,0.5,0.2,1.1,2.0,4.6
Allen Crabbe,,,NBA,,326,104,24.5,3.4,7.8,.429,1.6,4.2,.393,1.7,3.7,.470,.534,1.1,1.3,.845,0.3,2.6,2.9,1.2,0.6,0.3,0.8,2.1,9.5
Torrey Craig,,,NBA,,58,18,16.2,1.6,3.6,.440,0.4,1.6,.261,1.2,2.0,.583,.498,0.5,0.8,.630,1.2,2.2,3.3,0.6,0.4,0.4,0.6,1.7,4.1
Chris Crawford,,,NBA,,252,92,15.8,2.4,5.5,.437,0.3,0.8,.347,2.1,4.7,.453,.462,1.5,1.8,.824,0.8,1.4,2.2,0.6,0.4,0.3,0.9,2.0,6.6
Freddie Crawford,,,NBA,,297,,17.0,2.8,6.3,.446,,,,,,,,1.2,2.1,.595,2.5,2.1,2.3,6.8,,,,,
Jamal Crawford,,,NBA,,1285,433,29.7,5.2,12.6,.410,1.7,4.9,.349,3.5,7.7,.449,.477,2.8,3.3,.862,0.4,1.9,2.2,3.4,0.9,0.2,1.9,1.5,14.8
Joe Crawford,,,NBA,,2,0,11.5,1.5,5.0,.300,0.5,2.0,.250,1.0,3.0,.333,.350,1.0,1.0,1.000,0.5,1.5,2.0,0.5,0.5,0.0,0.0,1.0,4.5
Jordan Crawford,,,NBA,,281,99,24.4,4.6,11.1,.411,1.2,3.7,.317,3.4,7.4,.458,.464,1.9,2.3,.826,0.5,2.0,2.5,3.1,0.7,0.1,1.9,1.6,12.2
Jim Creighton,,,NBA,,32,,5.4,0.4,1.3,.279,,,,,,,,0.2,0.5,.438,0.4,1.0,1.4,0.1,0.1,0.3,0.7,1.0
Ron Crevier,,,NBA,,3,0,1.3,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.7,.000,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0
Hal Crisler,,,BAA,,4,,,0.5,1.5,.333,,,,,,,,0.5,0.5,1.000,,0.0,1.5,1.5
Joe Crispin,,,NBA,,21,0,7.4,1.2,3.2,.382,0.7,1.9,.385,0.5,1.4,.379,.493,0.6,0.6,.923,0.1,0.4,0.5,1.2,0.2,0.0,0.5,0.5,3.8
Charlie Criss,,,NBA,,418,22,21.4,3.1,7.3,.432,0.1,0.4,.179,3.1,7.0,.441,.435,2.1,2.5,.831,0.3,1.1,1.4,3.2,0.9,0.1,1.5,1.4,8.5
Russell Critchfield,,,ABA,,47,,9.3,1.1,3.1,.361,0.0,0.1,.000,1.1,3.1,.368,.361,1.2,1.8,.655,0.2,0.4,0.6,1.1,0.7,0.9,3.4
Winston Crite,,,NBA,,31,0,8.5,1.1,2.3,.479,0.0,0.0,,1.1,2.3,.479,.479,0.6,0.8,.760,0.9,1.2,2.1,0.5,0.2,0.3,0.8,1.4,2.8
Javaris Crittenton,,,NBA,,113,10,16.4,2.0,4.6,.442,0.1,0.5,.231,1.9,4.1,.466,.454,1.1,1.7,.638,0.7,1.7,2.4,1.8,0.5,0.1,1.2,1.3,5.3
Dillard Crocker,,,TOT,,154,,15.7,2.9,9.1,.316,,,,,,,,3.0,4.3,.706,2.2,1.3,3.6,8.8,,,NBA,,152
Bobby Croft,,,ABA,,62,,11.9,2.0,5.6,.362,0.0,0.0,.000,2.0,5.6,.364,.362,1.2,1.8,.652,1.3,2.0,3.3,0.7,0.7,2.2,5.2,,
Geoff Crompton,,,NBA,,82,1,6.0,0.5,1.3,.370,0.0,0.0,,0.5,1.3,.370,.370,0.2,0.5,.442,0.6,1.1,1.7,0.3,0.1,0.3,0.5,1.1,1.2
Terry Crosby,,,NBA,,4,,7.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,0.5,1.000,0.0,0.3,0.3,1.8,0.0,0.0,1.3,1.0,1.5
Austin Croshere,,,NBA,,659,88,17.4,2.3,5.6,.407,0.7,1.9,.340,1.6,3.6,.443,.466,1.6,1.9,.861,1.1,3.0,4.0,1.0,0.4,0.3,1.0,1.7,6.8
Jeff Cross,,,NBA,,21,0,6.1,0.3,1.1,.250,0.0,0.0,,0.3,1.1,.250,.250,0.7,1.2,.560,0.4,1.0,1.4,0.0,0.1,0.1,0.3,1.8,1.2
Pete Cross,,,NBA,,182,,20.7,2.2,5.1,.431,,,,,,,,1.4,2.0,.695,8.3,1.0,2.1,5.8,,,,,
Russell Cross,,,NBA,,45,0,7.9,1.4,2.5,.571,0.0,0.0,,1.4,2.5,.571,.571,0.8,2.0,.418,0.8,1.0,1.8,0.5,0.3,0.2,0.4,1.3,3.7
Chink Crossin,,,TOT,,147,,,2.0,6.2,.318,,,,,,,,0.8,1.1,.711,,1.5,1.5,4.7,,,BAA,,83
John Crotty,,,NBA,,477,6,12.1,1.3,3.0,.431,0.3,0.8,.384,1.0,2.3,.448,.481,1.1,1.3,.837,0.3,0.8,1.1,2.1,0.4,0.0,0.9,1.3,4.0
Bill Crow,,,ABA,,1,,16.0,1.0,8.0,.125,0.0,0.0,,1.0,8.0,.125,.125,1.0,4.0,.250,,,2.0,0.0,1.0,0.0,3.0
Mark Crow,,,NBA,,15,,10.3,2.3,5.3,.438,,,,,,,,0.9,1.3,.700,0.9,0.9,1.8,0.5,0.3,0.1,0.8,1.6,5.6
Corey Crowder,,,NBA,,58,0,6.2,0.8,2.1,.369,0.2,0.6,.382,0.6,1.5,.364,.422,0.3,0.4,.708,0.3,0.5,0.8,0.3,0.1,0.0,0.3,0.6,2.1
Jae Crowder,,,NBA,,489,237,24.0,3.2,7.5,.427,1.3,3.7,.340,2.0,3.8,.512,.511,1.5,2.0,.786,0.7,3.1,3.8,1.4,1.0,0.3,0.8,2.0,9.2
Al Cueto,,,ABA,,149,,15.0,2.1,5.2,.404,0.0,0.1,.238,2.1,5.1,.409,.407,1.1,1.5,.710,1.8,3.1,4.9,1.0,1.0,2.8,5.3,,
Pat Cummings,,,NBA,,683,300,21.3,4.0,8.1,.497,0.0,0.0,.000,4.0,8.0,.498,.497,1.6,2.1,.737,1.7,3.9,5.6,1.2,0.5,0.3,1.7,3.0,9.6
Terry Cummings,,,NBA,,1183,815,28.7,6.8,14.1,.484,0.0,0.1,.295,6.8,13.9,.486,.485,2.8,4.0,.706,2.7,4.6,7.3,1.9,1.1,0.5,1.9,3.2,16.4
Vonteego Cummings,,,NBA,,199,23,19.0,2.6,6.8,.383,0.5,1.7,.321,2.1,5.1,.404,.423,1.2,1.6,.726,0.6,1.3,1.9,2.7,0.9,0.2,1.3,1.9,6.9
Billy Cunningham,,,TOT,,770,,34.9,8.0,17.6,.452,0.1,0.5,.263,8.0,17.6,.453,.452,5.2,7.1,.730,2.2,8.0,10.4,4.3,1.8,0.5,4.4,3.7,21.2
Dante Cunningham,,,NBA,,676,193,21.5,2.6,5.5,.469,0.3,0.9,.339,2.3,4.6,.494,.496,0.5,0.8,.649,1.2,2.7,3.9,0.7,0.7,0.5,0.5,1.8,6.0
Dick Cunningham,,,NBA,,358,,10.6,1.1,2.8,.406,,,,,,,,0.5,0.9,.636,0.1,1.7,3.7,0.6,0.2,0.2,1.4,2.8,
Jared Cunningham,,,NBA,,84,3,7.2,0.7,2.1,.347,0.2,0.7,.306,0.5,1.3,.369,.402,0.7,1.0,.674,0.1,0.6,0.7,0.5,0.3,0.0,0.4,0.9,2.3
William Cunningham,,,NBA,,23,8,8.7,0.3,1.2,.259,0.0,0.0,,0.3,1.2,.259,.259,0.0,0.1,.000,0.7,0.9,1.7,0.1,0.1,0.5,0.2,1.7,0.6
Radisav Curcic,,,NBA,,20,0,8.3,0.8,2.1,.390,0.0,0.0,,0.8,2.1,.390,.390,1.3,1.8,.722,0.9,1.6,2.5,0.6,0.4,0.1,0.4,1.5,2.9
Armand Cure,,,BAA,,12,,,0.3,1.3,.267,,,,,,,,0.2,0.3,.667,,0.0,0.4,0.8
Earl Cureton,,,NBA,,674,131,18.4,2.3,4.8,.473,0.0,0.0,.000,2.3,4.8,.476,.473,0.8,1.5,.538,1.8,2.9,4.7,1.0,0.5,0.5,1.1,2.3,5.4
Bill Curley,,,NBA,,147,11,11.0,1.1,2.4,.444,0.0,0.1,.222,1.1,2.3,.449,.446,0.5,0.7,.743,0.8,1.1,2.0,0.4,0.4,0.3,0.5,2.3,2.7
Fran Curran,,,TOT,,123,,,1.3,3.3,.395,,,,,,,,2.3,3.0,.774,,1.2,1.9,4.9,,,NBA,,66
Dell Curry,,,NBA,,1083,99,21.7,4.7,10.3,.457,1.1,2.9,.402,3.6,7.4,.478,.513,1.1,1.4,.843,0.6,1.9,2.4,1.8,0.9,0.2,1.2,1.7,11.7
Eddy Curry,,,NBA,,527,411,24.9,4.9,9.0,.545,0.0,0.0,1.000,4.9,9.0,.544,.545,3.2,4.9,.642,1.8,3.4,5.2,0.5,0.3,0.7,2.2,3.0,12.9
JamesOn Curry,,,NBA,,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Curry,,,NBA,,667,269,19.8,1.6,3.7,.447,0.1,0.4,.298,1.5,3.3,.465,.463,1.1,1.3,.825,0.3,1.3,1.6,1.2,0.5,0.1,0.7,2.3,4.5
Seth Curry,,,NBA,,139,52,22.2,3.4,7.3,.463,1.5,3.4,.433,1.9,3.9,.490,.565,1.0,1.1,.849,0.3,1.6,1.9,2.0,0.8,0.1,1.0,1.4,9.3
Stephen Curry,,,NBA,,640,634,34.4,8.1,16.9,.479,3.5,7.9,.438,4.6,9.0,.514,.581,3.7,4.0,.904,0.7,3.7,4.4,6.7,1.8,0.2,3.2,2.5,23.3
Rastko Cvetkovic,,,NBA,,14,0,3.4,0.4,1.1,.313,0.0,0.1,.000,0.4,1.1,.333,.313,0.0,0.3,.000,0.3,0.5,0.8,0.2,0.1,0.1,0.2,0.8,0.7
Mike D'Antoni,,,TOT,,180,,14.8,1.5,3.5,.414,0.0,0.1,.000,1.5,3.5,.416,.414,0.5,0.6,.735,0.3,1.1,1.5,2.0,1.2,0.2,0.9,2.1,3.4
Mike Dabich,,,ABA,,10,,4.9,0.8,1.2,.667,0.0,0.0,,0.8,1.2,.667,.667,0.4,0.9,.444,,,1.3,0.2,0.5,1.2,2.0,,
Ed Dahler,,,NBA,,14,,8.0,1.0,2.7,.368,,,,,,,,0.5,0.5,1.000,1.6,0.4,1.1,2.5
Quintin Dailey,,,NBA,,528,140,23.0,5.6,12.2,.454,0.0,0.3,.158,5.5,12.0,.461,.456,3.0,3.8,.779,0.8,1.7,2.5,2.3,0.9,0.1,1.9,2.3,14.1
Samuel Dalembert,,,NBA,,886,694,24.4,3.2,6.1,.521,0.0,0.0,.083,3.2,6.1,.522,.521,1.3,1.9,.706,2.6,5.3,7.8,0.5,0.5,1.7,1.4,2.9,7.7
Howie Dallmar,,,BAA,,146,,,3.6,12.6,.283,,,,,,,,2.5,3.6,.698,,2.3,2.6,9.6
Erick Dampier,,,NBA,,987,771,24.3,2.8,5.7,.498,0.0,0.0,.125,2.8,5.7,.499,.498,1.8,2.8,.626,2.8,4.3,7.1,0.8,0.3,1.4,1.5,2.9,7.4
Louie Dampier,,,TOT,,960,,33.5,6.2,14.0,.444,1.1,3.0,.358,5.4,11.7,.461,.474,2.6,3.2,.820,0.6,1.9,2.6,4.9,0.8,0.3,2.3,1.9,15.9
Bob Dandridge,,,NBA,,839,0,35.2,7.7,15.9,.484,0.0,0.2,.167,7.7,15.9,.484,.484,3.1,4.0,.780,1.7,4.4,6.8,3.4,1.3,0.6,2.7,3.5,18.5
Antonio Daniels,,,NBA,,872,220,22.6,2.6,5.9,.444,0.4,1.3,.311,2.2,4.5,.483,.479,2.0,2.5,.793,0.3,1.6,1.8,3.4,0.6,0.1,1.1,1.1,7.6
Erik Daniels,,,NBA,,21,0,3.4,0.3,0.9,.333,0.0,0.1,.500,0.2,0.8,.313,.361,0.0,0.0,,0.3,0.5,0.9,0.2,0.1,0.0,0.3,0.3,0.6
Lloyd Daniels,,,NBA,,200,29,17.7,2.8,6.9,.403,0.8,2.4,.316,2.0,4.5,.450,.458,0.8,1.0,.743,0.9,1.3,2.2,1.6,0.5,0.3,1.1,1.5,7.1
Marquis Daniels,,,NBA,,548,146,21.4,3.2,7.2,.451,0.2,0.8,.235,3.0,6.4,.478,.464,1.2,1.7,.721,1.0,1.9,2.8,1.8,0.9,0.3,1.2,1.6,7.9
Mel Daniels,,,TOT,,639,,35.2,7.3,15.6,.468,0.0,0.1,.088,7.3,15.6,.469,.468,3.8,5.8,.657,4.5,10.4,14.9,1.8,0.6,1.5,3.0,3.6,18.4
Troy Daniels,,,NBA,,250,19,15.5,2.4,6.0,.402,1.8,4.5,.403,0.6,1.5,.398,.552,0.5,0.6,.828,0.2,1.1,1.3,0.6,0.3,0.1,0.6,1.3,7.1
Sasha Danilovic,,,NBA,,75,60,31.1,4.4,10.1,.439,1.6,4.2,.379,2.8,5.9,.482,.518,2.3,3.0,.789,0.5,1.9,2.4,2.0,0.9,0.2,2.0,2.8,12.8
Adrian Dantley,,,NBA,,955,546,35.8,8.6,15.8,.540,0.0,0.1,.171,8.5,15.8,.541,.540,7.2,8.7,.818,2.3,3.4,5.7,3.0,1.0,0.2,2.9,2.7,24.3
Pete Darcey,,,NBA,,12,,7.5,0.3,1.5,.167,,,,,,,,0.4,0.8,.556,0.8,0.2,2.4,0.9
Jimmy Darden,,,NBA,,26,,,3.0,9.3,.321,,,,,,,,2.1,3.1,.688,,2.6,2.6,8.1
Ollie Darden,,,ABA,,223,,21.6,3.7,8.4,.435,0.0,0.0,.182,3.6,8.3,.437,.436,1.9,2.7,.695,2.2,3.7,6.2,1.0,1.6,3.1,9.2,,
Yinka Dare,,,NBA,,110,25,9.1,0.8,2.0,.396,0.0,0.0,,0.8,2.0,.396,.396,0.6,1.0,.570,0.9,1.6,2.6,0.0,0.1,0.6,0.9,1.6,2.1
Jesse Dark,,,NBA,,47,,8.5,1.6,3.3,.471,,,,,,,,0.5,0.9,.550,0.3,0.5,0.8,0.6,0.1,0.0,1.0,3.6
Rick Darnell,,,ABA,,11,,10.9,1.0,2.7,.367,0.0,0.0,,1.0,2.7,.367,.367,0.4,0.6,.571,1.1,2.2,3.3,0.8,0.5,0.3,1.3,2.7,2.4
Jimmy Darrow,,,NBA,,5,,6.8,0.6,3.0,.200,,,,,,,,1.2,1.4,.857,1.4,1.2,1.8,2.4
Gigi Datome,,,NBA,,55,1,8.1,1.4,3.4,.414,0.5,1.4,.316,0.9,1.9,.486,.481,0.2,0.2,.818,0.3,1.1,1.4,0.4,0.1,0.1,0.4,0.6,3.4
Brad Daugherty,,,NBA,,548,546,36.5,7.0,13.1,.532,0.0,0.0,.143,7.0,13.1,.533,.532,5.0,6.7,.747,2.2,7.3,9.5,3.7,0.8,0.7,2.8,2.7,19.0
Mack Daughtry,,,ABA,,4,,10.8,1.0,2.5,.400,0.0,0.0,,1.0,2.5,.400,.400,1.3,1.3,1.000,0.5,0.8,1.3,0.8,0.0,1.0,3.3
