Name,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Blake Ahearn,,,NBA,,19,0,11.9,1.1,4.1,.273,0.7,2.5,.298,0.4,1.6,.233,.364,1.7,1.7,.970,0.1,1.1,1.2,1.2,0.4,0.0,1.2,1.4,4.6
Danny Ainge,,,NBA,,1042,508,26.6,4.5,9.5,.469,1.0,2.5,.378,3.5,7.0,.502,.519,1.6,1.9,.846,0.7,2.0,2.7,4.0,1.1,0.1,1.5,2.4,11.5
Matthew Aitch,,,ABA,,45,,14.2,2.2,5.5,.405,0.0,0.0,.000,2.2,5.4,.408,.405,1.2,1.7,.675,,,3.6,0.4,0.8,1.5,5.6
Alexis Ajinca,,,NBA,,293,76,13.3,2.2,4.4,.503,0.0,0.1,.286,2.2,4.2,.510,.507,0.9,1.1,.797,1.2,2.7,3.9,0.5,0.3,0.6,0.8,2.3,5.3
Henry Akin,,,TOT,,88,,8.4,1.5,4.2,.350,0.0,1.0,.000,1.5,4.2,.352,.350,0.5,0.8,.676,0.0,2.0,2.1,0.5,2.0,1.5,3.5,,
Josh Akognon,,,NBA,,3,0,3.0,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7
DeVaughn Akoon-Purcell,,,NBA,,6,0,3.5,0.5,1.7,.300,0.0,0.7,.000,0.5,1.0,.500,.300,0.2,0.3,.500,0.2,0.5,0.7,1.0,0.3,0.0,0.2,0.7,1.2
Solomon Alabi,,,NBA,,26,0,7.0,0.6,2.0,.314,0.0,0.0,,0.6,2.0,.314,.314,0.3,0.4,.700,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5
Mark Alarie,,,NBA,,325,41,16.9,3.2,6.7,.475,0.1,0.4,.252,3.1,6.3,.490,.483,1.0,1.3,.775,1.3,2.1,3.4,1.1,0.4,0.3,1.0,2.2,7.5
Gary Alcorn,,,NBA,,78,,10.8,1.3,4.5,.293,,,,,,,,0.7,1.2,.598,4.2,0.3,2.2,3.3,,,,,
Furkan Aldemir,,,NBA,,41,9,13.2,1.0,1.9,.513,0.0,0.1,.000,1.0,1.8,.548,.513,0.3,0.7,.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3
Cole Aldrich,,,NBA,,339,23,10.0,1.3,2.4,.527,0.0,0.0,,1.3,2.4,.527,.527,0.5,0.7,.738,1.0,2.4,3.3,0.5,0.4,0.7,0.6,1.5,3.1
LaMarcus Aldridge,,,NBA,,894,853,34.6,7.9,16.1,.488,0.1,0.4,.282,7.7,15.7,.493,.492,3.5,4.4,.807,2.7,5.7,8.4,1.9,0.7,1.1,1.6,2.5,19.4
Chuck Aleksinas,,,NBA,,74,4,15.1,2.2,4.6,.478,0.0,0.0,.000,2.2,4.5,.479,.478,0.7,1.0,.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1
Cliff Alexander,,,NBA,,8,0,4.5,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.0,0.0,,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3
Cory Alexander,,,NBA,,307,35,15.8,1.9,4.9,.389,0.8,2.2,.354,1.1,2.7,.417,.468,0.9,1.1,.756,0.3,1.3,1.6,2.7,0.9,0.1,1.5,1.7,5.5
Courtney Alexander,,,NBA,,187,59,21.7,3.5,8.3,.422,0.2,0.6,.339,3.3,7.7,.429,.435,1.8,2.2,.813,0.7,1.5,2.2,1.2,0.6,0.1,1.1,2.0,9.0
Gary Alexander,,,NBA,,11,0,5.0,0.7,1.3,.571,0.0,0.0,,0.7,1.3,.571,.571,0.3,0.8,.333,0.6,0.7,1.4,0.2,0.3,0.0,0.7,0.9,1.7
Joe Alexander,,,NBA,,67,0,11.1,1.5,3.7,.410,0.2,0.7,.340,1.3,3.0,.426,.442,0.9,1.3,.698,0.7,1.1,1.8,0.7,0.2,0.4,0.8,1.7,4.2
Victor Alexander,,,NBA,,286,155,20.1,3.8,7.4,.518,0.1,0.2,.286,3.8,7.2,.525,.522,1.1,1.8,.634,1.6,3.3,4.8,0.9,0.5,0.6,1.3,2.5,8.9
Steve Alford,,,NBA,,169,3,9.7,1.7,3.8,.459,0.2,0.6,.324,1.5,3.1,.487,.487,0.8,0.9,.870,0.1,0.7,0.9,1.0,0.5,0.1,0.5,0.7,4.4
Bill Allen,,,ABA,,38,,22.6,3.2,7.4,.429,0.1,0.1,1.000,3.1,7.3,.424,.432,1.5,2.6,.586,,,7.1,0.6,1.0,3.2,7.9
Bob Allen,,,NBA,,27,,8.6,0.5,1.6,.326,,,,,,,,0.7,1.3,.556,2.1,0.4,1.0,1.8
Grayson Allen,,,NBA,,15,1,10.3,1.3,3.8,.333,0.7,2.5,.270,0.6,1.3,.450,.421,1.2,1.7,.720,0.1,0.3,0.3,0.4,0.1,0.0,0.7,1.1,4.4
Jarrett Allen,,,NBA,,96,55,22.0,3.6,6.1,.586,0.1,0.4,.235,3.5,5.8,.608,.593,1.9,2.5,.746,2.2,3.9,6.1,0.9,0.4,1.3,1.2,2.2,9.2
Jerome Allen,,,NBA,,117,1,11.2,1.0,2.8,.350,0.3,1.1,.317,0.6,1.7,.370,.411,0.6,0.9,.630,0.3,0.8,1.1,1.7,0.4,0.1,0.9,1.1,2.9
Kadeem Allen,,,NBA,,18,1,5.9,0.3,1.2,.273,0.0,0.6,.000,0.3,0.6,.545,.273,0.4,0.5,.778,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,1.1
Lavoy Allen,,,NBA,,388,87,17.8,2.1,4.5,.471,0.0,0.0,.133,2.1,4.5,.474,.472,0.5,0.7,.682,1.8,2.9,4.8,1.0,0.3,0.6,0.7,1.8,4.8
Lucius Allen,,,NBA,,702,,28.7,5.5,11.9,.463,,,,,,,,2.3,3.1,.760,1.0,2.3,3.1,4.5,1.5,0.3,2.3,2.6,13.4
Malik Allen,,,NBA,,478,125,15.2,2.2,4.9,.439,0.0,0.0,.188,2.2,4.9,.441,.440,0.5,0.7,.778,1.0,1.9,2.8,0.5,0.3,0.5,0.7,1.9,4.9
Randy Allen,,,NBA,,70,6,11.3,1.6,3.7,.442,0.0,0.1,.000,1.6,3.6,.456,.442,0.3,0.6,.533,0.7,1.3,2.1,0.3,0.2,0.3,0.4,1.6,3.6
Ray Allen,,,NBA,,1300,1149,35.6,6.6,14.6,.452,2.3,5.7,.400,4.3,8.9,.485,.530,3.4,3.8,.894,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9
Tony Allen,,,NBA,,820,441,22.0,3.2,6.6,.475,0.2,0.5,.282,3.0,6.1,.492,.487,1.7,2.3,.709,1.2,2.3,3.5,1.3,1.4,0.4,1.4,2.4,8.1
Willie Allen,,,ABA,,7,,4.3,0.6,1.9,.308,0.0,0.0,,0.6,1.9,.308,.308,0.7,0.9,.833,0.6,1.4,2.0,0.6,,0.9,1.6,1.9
Odis Allison,,,NBA,,36,,4.6,0.5,2.2,.218,,,,,,,,0.9,1.7,.541,1.3,0.3,0.9,1.9
Lance Allred,,,NBA,,3,0,3.3,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0
